design,inquiry,estimator,outcome,term,clusters_treat,effect,diagnosand,estimate,std.error,conf.low,conf.high
design_6,ATE,LM,Y,Z,60,0.2,mean_estimate,0.12511333333333288,0.007915213685979966,0.11154349999999957,0.14115583333333281
design_6,ATE,LM,Y,Z,60,0.2,bias,0.012802988505746671,0.007983835119976853,-0.0020082241379314647,0.03054287931034433
design_6,ATE,LM,Y,Z,60,0.2,sd_estimate,0.08984446243288478,0.005595885592217098,0.08029518082917093,0.10079875639866649
design_6,ATE,LM,Y,Z,60,0.2,rmse,0.09020736308712674,0.005717140235961422,0.07864440878254567,0.10145556865260068
design_6,ATE,LM,Y,Z,60,0.2,power,0.72,0.0472179558381698,0.6195,0.8
design_6,ATE,LM,Y,Z,60,0.2,coverage,0.58,0.0507117024726716,0.48,0.6804999999999999
design_6,ATE,PSM ATE,Y,Z,60,0.2,mean_estimand,0.11231034482758621,0.0018222915754496237,0.1088948275862069,0.11674568965517242
design_6,ATE,PSM ATE,Y,Z,60,0.2,mean_estimate,0.1281733333333337,0.008244246020101254,0.1127543333333337,0.14616433333333376
design_6,ATE,PSM ATE,Y,Z,60,0.2,bias,0.01586298850574748,0.008347284366913612,3.164022988509391e-4,0.033415609195402714
design_6,ATE,PSM ATE,Y,Z,60,0.2,sd_estimate,0.09046991029569652,0.00625726205400976,0.07994271462842212,0.10178223026463853
design_6,ATE,PSM ATE,Y,Z,60,0.2,rmse,0.09131595565634561,0.006551257706395698,0.080175422534457,0.10330144527399995
design_6,ATE,PSM ATE,Y,Z,60,0.2,power,0.66,0.0530228652792759,0.5647500000000001,0.76
design_6,ATE,PSM ATE,Y,Z,60,0.2,coverage,0.65,0.045810765793929516,0.5647500000000001,0.73525
design_7,ATE,LM,Y,Z,20,0.3,mean_estimand,0.1666896551724138,0.0021606950905022483,0.16316206896551724,0.17058103448275863
design_7,ATE,LM,Y,Z,20,0.3,mean_estimate,0.16063999999999953,0.00810402133097416,0.14423666666666626,0.1760951666666663
design_7,ATE,LM,Y,Z,20,0.3,bias,-0.006049655172414265,0.007603870310703665,-0.019425770114942863,0.008947310344827179
design_7,ATE,LM,Y,Z,20,0.3,sd_estimate,0.09286524855040078,0.006275480185264923,0.07963133691442367,0.10280679282491653
design_7,ATE,LM,Y,Z,20,0.3,rmse,0.08970018846289435,0.006237261841424362,0.07761171891406392,0.09959636551146692
design_7,ATE,LM,Y,Z,20,0.3,power,0.86,0.03178462877339654,0.8,0.93
design_7,ATE,LM,Y,Z,20,0.3,coverage,0.59,0.047744691386117005,0.51,0.6952499999999999
design_7,ATE,PSM ATE,Y,Z,20,0.3,mean_estimand,0.1666896551724138,0.0021606950905022483,0.16316206896551724,0.17058103448275863
design_7,ATE,PSM ATE,Y,Z,20,0.3,mean_estimate,0.16268000000000063,0.008695879913514143,0.14847566666666717,0.1781186666666673
design_7,ATE,PSM ATE,Y,Z,20,0.3,bias,-0.004009655172413154,0.008235829215280587,-0.018077885057470718,0.01025813793103511
design_7,ATE,PSM ATE,Y,Z,20,0.3,sd_estimate,0.0954400984417581,0.005433374403238698,0.08577811660057189,0.10469830875501501
design_7,ATE,PSM ATE,Y,Z,20,0.3,rmse,0.0927922178184867,0.005953032077384479,0.08113727924275649,0.10386096268485417
design_7,ATE,PSM ATE,Y,Z,20,0.3,power,0.76,0.03866927890862632,0.68475,0.8352499999999998
design_7,ATE,PSM ATE,Y,Z,20,0.3,coverage,0.69,0.042783339530875104,0.62475,0.7804999999999999
design_8,ATE,LM,Y,Z,40,0.3,mean_estimand,0.1647241379310345,0.0018771873263940557,0.16102758620689656,0.16867844827586206
